File format - 1
# of Tracks - 8
Ticks/quarter note - 120

Start of track 1 at Byte 14
Track length: 82
0, Sequencer-specific event
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Tempo to 810810 usec/quarter note
0, Key signature event
0, Time Signature event
0,End of track

Start of track 2 at Byte 104
Track length: 30036
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Control change event, Channel: 1
0, Program change event, Channel: 1
1952,Off,E4,1
1952,Off,A3,1
1952,Off,E3,1
1952,On,E5,1
1952,On,C#5,1
1952,On,A4,1
1952,On,E4,1
1952,On,A3,1
1952,On,E3,1
1959,Off,E5,1
1959,Off,C#5,1
1959,Off,A4,1
1959,Off,E4,1
1959,Off,A3,1
1959,Off,E3,1
1959,On,E5,1
1959,On,C#5,1
1959,On,A4,1
1959,On,E4,1
1959,On,A3,1
1959,On,E3,1
1972,Off,E5,1
1972,Off,C#5,1
1972,Off,A4,1
1972,Off,E4,1
1972,Off,A3,1
1972,Off,E3,1
1972,On,E3,1
1972,On,B3,1
1972,On,E4,1
1972,On,G#4,1
1972,On,B4,1
1972,On,E5,1
1985,Off,E3,1
1985,Off,B3,1
1985,Off,E4,1
1985,Off,G#4,1
1985,Off,B4,1
1985,Off,E5,1
1985,On,E5,1
1985,On,B4,1
1985,On,G#4,1
1985,On,E4,1
1985,On,B3,1
1985,On,E3,1
1991,Off,E5,1
1991,Off,B4,1
1991,Off,G#4,1
1991,Off,E4,1
1991,Off,B3,1
1991,Off,E3,1
1991,On,E5,1
1991,On,B4,1
1991,On,G#4,1
1991,On,E4,1
1991,On,B3,1
1991,On,E3,1
1998,Off,E5,1
1998,Off,B4,1
1998,Off,G#4,1
1998,Off,E4,1
1998,Off,B3,1
1998,Off,E3,1
1998,On,E5,1
1998,On,B4,1
1998,On,G#4,1
1998,On,E4,1
1998,On,B3,1
1998,On,E3,1
2011,Off,E5,1
2011,Off,B4,1
2011,Off,G#4,1
2011,Off,E4,1
2011,Off,B3,1
2011,Off,E3,1
2011,On,E5,1
2011,On,B4,1
2011,On,G#4,1
2011,On,E4,1
2011,On,B3,1
2011,On,E3,1
2017,Off,E5,1
2017,Off,B4,1
2017,Off,G#4,1
2017,Off,E4,1
2017,Off,B3,1
2017,Off,E3,1
2017,On,E5,1
2017,On,B4,1
2017,On,G#4,1
2017,On,E4,1
2017,On,B3,1
2017,On,E3,1
2024,Off,E5,1
2024,Off,B4,1
2024,Off,G#4,1
2024,Off,E4,1
2024,Off,B3,1
2024,Off,E3,1
2024,On,E5,1
2024,On,B4,1
2024,On,G#4,1
2024,On,E4,1
2024,On,B3,1
2024,On,E3,1
2075,Off,E5,1
2075,Off,B4,1
2075,Off,G#4,1
2075,Off,E4,1
2075,Off,B3,1
2075,Off,E3,1
2076,On,G3,1
2076,On,D4,1
2076,On,G4,1
2076,On,B4,1
2076,On,D5,1
2076,On,G5,1
2088,Off,G3,1
2088,Off,D4,1
2088,Off,G4,1
2088,Off,B4,1
2088,Off,D5,1
2088,Off,G5,1
2089,On,G5,1
2089,On,D5,1
2089,On,B4,1
2089,On,G4,1
2089,On,D4,1
2089,On,G3,1
2095,Off,G5,1
2095,Off,D5,1
2095,Off,B4,1
2095,Off,G4,1
2095,Off,D4,1
2095,Off,G3,1
2095,On,G5,1
2095,On,D5,1
2095,On,B4,1
2095,On,G4,1
2095,On,D4,1
2095,On,G3,1
2101,Off,G5,1
2101,Off,D5,1
2101,Off,B4,1
2101,Off,G4,1
2101,Off,D4,1
2101,Off,G3,1
2102,On,G5,1
2102,On,D5,1
2102,On,B4,1
2102,On,G4,1
2102,On,D4,1
2102,On,G3,1
2114,Off,G5,1
2114,Off,D5,1
2114,Off,B4,1
2114,Off,G4,1
2114,Off,D4,1
2114,Off,G3,1
2115,On,G5,1
2115,On,D5,1
2115,On,B4,1
2115,On,G4,1
2115,On,D4,1
2115,On,G3,1
2121,Off,G5,1
2121,Off,D5,1
2121,Off,B4,1
2121,Off,G4,1
2121,Off,D4,1
2121,Off,G3,1
2121,On,G5,1
2121,On,D5,1
2121,On,B4,1
2121,On,G4,1
2121,On,D4,1
2121,On,G3,1
2127,Off,G5,1
2127,Off,D5,1
2127,Off,B4,1
2127,Off,G4,1
2127,Off,D4,1
2127,Off,G3,1
2128,On,G5,1
2128,On,D5,1
2128,On,B4,1
2128,On,G4,1
2128,On,D4,1
2128,On,G3,1
2134,Off,G5,1
2134,Off,D5,1
2134,Off,B4,1
2134,Off,G4,1
2134,Off,D4,1
2134,Off,G3,1
2134,On,G5,1
2134,On,D5,1
2134,On,B4,1
2134,On,G4,1
2134,On,D4,1
2134,On,G3,1
2140,Off,G5,1
2140,Off,D5,1
2140,Off,B4,1
2140,Off,G4,1
2140,Off,D4,1
2140,Off,G3,1
2141,On,G5,1
2141,On,D5,1
2141,On,B4,1
2141,On,G4,1
2141,On,D4,1
2141,On,G3,1
2147,Off,G5,1
2147,Off,D5,1
2147,Off,B4,1
2147,Off,G4,1
2147,Off,D4,1
2147,Off,G3,1
2147,On,G5,1
2147,On,D5,1
2147,On,B4,1
2147,On,G4,1
2147,On,D4,1
2147,On,G3,1
2160,Off,G5,1
2160,Off,D5,1
2160,Off,B4,1
2160,Off,G4,1
2160,Off,D4,1
2160,Off,G3,1
2160,On,G5,1
2160,On,D5,1
2160,On,B4,1
2160,On,G4,1
2160,On,D4,1
2160,On,G3,1
2166,Off,G5,1
2166,Off,D5,1
2166,Off,B4,1
2166,Off,G4,1
2166,Off,D4,1
2166,Off,G3,1
2166,On,G5,1
2166,On,D5,1
2166,On,B4,1
2166,On,G4,1
2166,On,D4,1
2166,On,G3,1
2179,Off,G5,1
2179,Off,D5,1
2179,Off,B4,1
2179,Off,G4,1
2179,Off,D4,1
2179,Off,G3,1
2179,On,A3,1
2179,On,D4,1
2179,On,A4,1
2179,On,D5,1
2179,On,F#5,1
2179,On,A5,1
2192,Off,A3,1
2192,Off,D4,1
2192,Off,A4,1
2192,Off,D5,1
2192,Off,F#5,1
2192,Off,A5,1
2192,On,A5,1
2192,On,F#5,1
2192,On,D5,1
2192,On,A4,1
2192,On,D4,1
2192,On,A3,1
2199,Off,A5,1
2199,Off,F#5,1
2199,Off,D5,1
2199,Off,A4,1
2199,Off,D4,1
2199,Off,A3,1
2199,On,A5,1
2199,On,F#5,1
2199,On,D5,1
2199,On,A4,1
2199,On,D4,1
2199,On,A3,1
2205,Off,A5,1
2205,Off,F#5,1
2205,Off,D5,1
2205,Off,A4,1
2205,Off,D4,1
2205,Off,A3,1
2205,On,A5,1
2205,On,F#5,1
2205,On,D5,1
2205,On,A4,1
2205,On,D4,1
2205,On,A3,1
2212,Off,A5,1
2212,Off,F#5,1
2212,Off,D5,1
2212,Off,A4,1
2212,Off,D4,1
2212,Off,A3,1
2212,On,A5,1
2212,On,F#5,1
2212,On,D5,1
2212,On,A4,1
2212,On,D4,1
2212,On,A3,1
2225,Off,A5,1
2225,Off,F#5,1
2225,Off,D5,1
2225,Off,A4,1
2225,Off,D4,1
2225,Off,A3,1
2225,On,A5,1
2225,On,F#5,1
2225,On,D5,1
2225,On,A4,1
2225,On,D4,1
2225,On,A3,1
2231,Off,A5,1
2231,Off,F#5,1
2231,Off,D5,1
2231,Off,A4,1
2231,Off,D4,1
2231,Off,A3,1
2231,On,A5,1
2231,On,F#5,1
2231,On,D5,1
2231,On,A4,1
2231,On,D4,1
2231,On,A3,1
2283,Off,A5,1
2283,Off,F#5,1
2283,Off,D5,1
2283,Off,A4,1
2283,Off,D4,1
2283,Off,A3,1
2283,On,E3,1
2283,On,B3,1
2283,On,E4,1
2283,On,G4,1
2283,On,B4,1
2283,On,E5,1
2296,Off,E3,1
2296,Off,B3,1
2296,Off,E4,1
2296,Off,G4,1
2296,Off,B4,1
2296,Off,E5,1
2296,On,E5,1
2296,On,B4,1
2296,On,G4,1
2296,On,E4,1
2296,On,B3,1
2296,On,E3,1
2302,Off,E5,1
2302,Off,B4,1
2302,Off,G4,1
2302,Off,E4,1
2302,Off,B3,1
2302,Off,E3,1
2303,On,E5,1
2303,On,B4,1
2303,On,G4,1
2303,On,E4,1
2303,On,B3,1
2303,On,E3,1
2309,Off,E5,1
2309,Off,B4,1
2309,Off,G4,1
2309,Off,E4,1
2309,Off,B3,1
2309,Off,E3,1
2309,On,E5,1
2309,On,B4,1
2309,On,G4,1
2309,On,E4,1
2309,On,B3,1
2309,On,E3,1
2315,Off,E5,1
2315,Off,B4,1
2315,Off,G4,1
2315,Off,E4,1
2315,Off,B3,1
2315,Off,E3,1
2316,On,E5,1
2316,On,B4,1
2316,On,G4,1
2316,On,E4,1
2316,On,B3,1
2316,On,E3,1
2322,Off,E5,1
2322,Off,B4,1
2322,Off,G4,1
2322,Off,E4,1
2322,Off,B3,1
2322,Off,E3,1
2322,On,E5,1
2322,On,B4,1
2322,On,G4,1
2322,On,E4,1
2322,On,B3,1
2322,On,E3,1
2335,Off,E5,1
2335,Off,B4,1
2335,Off,G4,1
2335,Off,E4,1
2335,Off,B3,1
2335,Off,E3,1
2335,On,E5,1
2335,On,B4,1
2335,On,G4,1
2335,On,E4,1
2335,On,B3,1
2335,On,E3,1
2348,Off,E5,1
2348,Off,B4,1
2348,Off,G4,1
2348,Off,E4,1
2348,Off,B3,1
2348,Off,E3,1
2348,On,E5,1
2348,On,B4,1
2348,On,G4,1
2348,On,E4,1
2348,On,B3,1
2348,On,E3,1
2361,Off,E5,1
2361,Off,B4,1
2361,Off,G4,1
2361,Off,E4,1
2361,Off,B3,1
2361,Off,E3,1
2361,On,E5,1
2361,On,B4,1
2361,On,G4,1
2361,On,E4,1
2361,On,B3,1
2361,On,E3,1
2367,Off,E5,1
2367,Off,B4,1
2367,Off,G4,1
2367,Off,E4,1
2367,Off,B3,1
2367,Off,E3,1
2368,On,E5,1
2368,On,B4,1
2368,On,G4,1
2368,On,E4,1
2368,On,B3,1
2368,On,E3,1
2374,Off,E5,1
2374,Off,B4,1
2374,Off,G4,1
2374,Off,E4,1
2374,Off,B3,1
2374,Off,E3,1
2374,On,E5,1
2374,On,B4,1
2374,On,G4,1
2374,On,E4,1
2374,On,B3,1
2374,On,E3,1
2387,Off,E5,1
2387,Off,B4,1
2387,Off,G4,1
2387,Off,E4,1
2387,Off,B3,1
2387,Off,E3,1
2387,On,F#3,1
2387,On,C#4,1
2387,On,F#4,1
2387,On,A#4,1
2387,On,C#5,1
2387,On,F#5,1
2400,Off,F#3,1
2400,Off,C#4,1
2400,Off,F#4,1
2400,Off,A#4,1
2400,Off,C#5,1
2400,Off,F#5,1
2400,On,F#5,1
2400,On,C#5,1
2400,On,A#4,1
2400,On,F#4,1
2400,On,C#4,1
2400,On,F#3,1
2406,Off,F#5,1
2406,Off,C#5,1
2406,Off,A#4,1
2406,Off,F#4,1
2406,Off,C#4,1
2406,Off,F#3,1
2406,On,F#5,1
2406,On,C#5,1
2406,On,A#4,1
2406,On,F#4,1
2406,On,C#4,1
2406,On,F#3,1
2413,Off,F#5,1
2413,Off,C#5,1
2413,Off,A#4,1
2413,Off,F#4,1
2413,Off,C#4,1
2413,Off,F#3,1
2413,On,F#5,1
2413,On,C#5,1
2413,On,A#4,1
2413,On,F#4,1
2413,On,C#4,1
2413,On,F#3,1
2419,Off,F#5,1
2419,Off,C#5,1
2419,Off,A#4,1
2419,Off,F#4,1
2419,Off,C#4,1
2419,Off,F#3,1
2419,On,F#5,1
2419,On,C#5,1
2419,On,A#4,1
2419,On,F#4,1
2419,On,C#4,1
2419,On,F#3,1
2432,Off,F#5,1
2432,Off,C#5,1
2432,Off,A#4,1
2432,Off,F#4,1
2432,Off,C#4,1
2432,Off,F#3,1
2432,On,F#5,1
2432,On,C#5,1
2432,On,A#4,1
2432,On,F#4,1
2432,On,C#4,1
2432,On,F#3,1
2439,Off,F#5,1
2439,Off,C#5,1
2439,Off,A#4,1
2439,Off,F#4,1
2439,Off,C#4,1
2439,Off,F#3,1
2439,On,F#5,1
2439,On,C#5,1
2439,On,A#4,1
2439,On,F#4,1
2439,On,C#4,1
2439,On,F#3,1
2491,Off,F#5,1
2491,Off,C#5,1
2491,Off,A#4,1
2491,Off,F#4,1
2491,Off,C#4,1
2491,Off,F#3,1
2491,On,F#4,1
2491,On,B3,1
2491,On,F#3,1
2491,On,B4,1
2491,On,D5,1
2491,On,F#5,1
2504,Off,F#4,1
2504,Off,B3,1
2504,Off,F#3,1
2504,Off,B4,1
2504,Off,D5,1
2504,Off,F#5,1
2504,On,F#5,1
2504,On,B4,1
2504,On,D5,1
2504,On,F#4,1
2504,On,B3,1
2504,On,F#3,1
2510,Off,F#5,1
2510,Off,B4,1
2510,Off,D5,1
2510,Off,F#4,1
2510,Off,B3,1
2510,Off,F#3,1
2510,On,F#5,1
2510,On,B4,1
2510,On,D5,1
2510,On,F#4,1
2510,On,B3,1
2510,On,F#3,1
2517,Off,F#5,1
2517,Off,B4,1
2517,Off,D5,1
2517,Off,F#4,1
2517,Off,B3,1
2517,Off,F#3,1
2517,On,F#5,1
2517,On,D5,1
2517,On,B4,1
2517,On,F#4,1
2517,On,B3,1
2517,On,F#3,1
2530,Off,F#5,1
2530,Off,D5,1
2530,Off,B4,1
2530,Off,F#4,1
2530,Off,B3,1
2530,Off,F#3,1
2530,On,F#5,1
2530,On,D5,1
2530,On,B4,1
2530,On,F#4,1
2530,On,B3,1
2530,On,F#3,1
2536,Off,F#5,1
2536,Off,D5,1
2536,Off,B4,1
2536,Off,F#4,1
2536,Off,B3,1
2536,Off,F#3,1
2536,On,F#5,1
2536,On,D5,1
2536,On,B4,1
2536,On,F#4,1
2536,On,B3,1
2536,On,F#3,1
2542,Off,F#5,1
2542,Off,D5,1
2542,Off,B4,1
2542,Off,F#4,1
2542,Off,B3,1
2542,Off,F#3,1
2543,On,F#5,1
2543,On,D5,1
2543,On,B4,1
2543,On,F#4,1
2543,On,B3,1
2543,On,F#3,1
2549,Off,F#5,1
2549,Off,D5,1
2549,Off,B4,1
2549,Off,F#4,1
2549,Off,B3,1
2549,Off,F#3,1
2549,On,F#5,1
2549,On,D5,1
2549,On,B4,1
2549,On,F#4,1
2549,On,B3,1
2549,On,F#3,1
2555,Off,F#5,1
2555,Off,D5,1
2555,Off,B4,1
2555,Off,F#4,1
2555,Off,B3,1
2555,Off,F#3,1
2556,On,F#5,1
2556,On,D5,1
2556,On,B4,1
2556,On,F#4,1
2556,On,B3,1
2556,On,F#3,1
2562,Off,F#5,1
2562,Off,D5,1
2562,Off,B4,1
2562,Off,F#4,1
2562,Off,B3,1
2562,Off,F#3,1
