File format - 1
# of Tracks - 13
Ticks/quarter note - 96

Start of track 1at Byte 14
Track length: 344
0: Tempo to 262912 usec/quarter note
0: Time Signature event
385920: Tempo to 328205 usec/quarter note
447360: Tempo to 262912 usec/quarter note

Start of track 2at Byte 366
Track length: 20409
105027: On, D#3
105234: Off, D#3
107526: Off, G#2
107526: On, G#2
107646: Off, G#2
107646: On, G#2
107766: Off, G#2
107766: On, G#2
107886: Off, G#2
107886: On, G#2
108006: Off, G#2
108006: On, G#2
108126: Off, G#2
108126: On, G#2
108246: Off, G#2
108246: On, G#2
108366: Off, G#2
108366: On, G#2
108486: Off, G#2
108486: On, G#2
108606: Off, G#2
108606: On, G#2
108726: Off, G#2
108726: On, G#2
108846: Off, G#2
108846: On, G#2
108966: Off, G#2
108966: On, G#2
109086: Off, G#2
109086: On, G#2
109206: Off, G#2
109206: On, G#2
109326: Off, G#2
109326: On, G#2
109446: Off, G#2
109446: On, G#2
109566: Off, G#2
109566: On, G#2
109686: Off, G#2
109686: On, G#2
109806: Off, G#2
109806: On, G#2
109926: Off, G#2
109926: On, G#2
110046: Off, G#2
110046: On, G#2
110166: Off, G#2
110166: On, G#2
110286: Off, G#2
110286: On, G#2
110406: Off, G#2
110406: On, G#2
110526: Off, G#2
110526: On, G#2
110646: Off, G#2
110646: On, G#2
110766: Off, G#2
110766: On, G#2
110886: Off, G#2
110886: On, G#2
111006: Off, G#2
111006: On, C4
111629: Off, C4
115117: On, G#3
115736: Off, G#3
119220: On, A#3
119841: Off, A#3
123327: On, A#3
123828: Off, A#3
124074: On, A#3
124575: Off, A#3
124821: On, A#3
125202: Off, A#3
125328: On, A#3
126189: Off, A#3
126315: On, C4
126938: Off, C4
128506: On, G3
128713: Off, G3
131009: Off, C3
131009: On, C3
131129: Off, C3
131129: On, C3
131249: Off, C3
131249: On, C3
131369: Off, C3
131369: On, C3
131489: Off, C3
131489: On, C3
131609: Off, C3
131609: On, C3
131729: Off, C3
131729: On, C3
131849: Off, C3
131849: On, C3
131969: Off, C3
131969: On, C3
132089: Off, C3
132089: On, C3
132209: Off, C3
132209: On, C3
132329: Off, C3
132329: On, C3
132449: Off, C3
132449: On, C3
132569: Off, C3
132569: On, C3
132689: Off, C3
132689: On, C3
132809: Off, C3
132809: On, C3
132929: Off, C3
132929: On, C3
133049: Off, C3
133049: On, C3
133169: Off, C3
133169: On, C3
133289: Off, C3
133289: On, C3
133409: Off, C3
133409: On, C3
133529: Off, C3
133529: On, G3
133736: Off, G3
136126: Off, G3
138519: Off, A#3
140914: Off, C4
143300: Off, D#3
145592: Off, G#2
145592: On, G#2
145712: Off, G#2
145712: On, G#2
145832: Off, G#2
145832: On, G#2
145952: Off, G#2
145952: On, G#2
146072: Off, G#2
146072: On, G#2
146192: Off, G#2
146192: On, G#2
146312: Off, G#2
146312: On, G#2
146432: Off, G#2
146432: On, G#2
146552: Off, G#2
146552: On, G#2
146672: Off, G#2
146672: On, G#2
146792: Off, G#2
146792: On, G#2
146912: Off, G#2
146912: On, G#2
147032: Off, G#2
147032: On, G#2
147152: Off, G#2
147152: On, G#2
147272: Off, G#2
147272: On, G#2
147392: Off, G#2
147392: On, G#2
147512: Off, G#2
147512: On, G#2
147632: Off, G#2
147632: On, G#2
147752: Off, G#2
147752: On, G#2
147872: Off, G#2
147872: On, G#2
147992: Off, G#2
147992: On, G#2
148112: Off, G#2
148112: On, G#2
148232: Off, G#2
148232: On, G#2
148352: Off, G#2
148352: On, G#2
148472: Off, G#2
148472: On, G#2
148592: Off, G#2
148592: On, G#2
148712: Off, G#2
148712: On, G#2
148832: Off, G#2
148832: On, G#2
148952: Off, G#2
148952: On, G#2
149072: Off, G#2
149072: On, F3
149279: Off, F3
151573: Off, A#2
151573: On, A#2
151693: Off, A#2
151693: On, A#2
151813: Off, A#2
151813: On, A#2
151933: Off, A#2
151933: On, A#3
153274: Off, A#3
153400: On, F3
153607: Off, F3
155901: Off, A#2
155901: On, A#2
156021: Off, A#2
156021: On, A#2
156141: Off, A#2
156141: On, A#2
156261: Off, A#2
156261: On, A#3
157602: Off, A#3
157728: On, C3
157968: Off, C3
157968: On, C3
158208: Off, C3
158208: On, G3
158415: Off, G3
160831: Off, C3
160831: On, C3
161071: Off, C3
161071: On, C3
161311: Off, C3
161311: On, G3
161518: Off, G3
163934: Off, C3
163934: On, C3
164174: Off, C3
164174: On, C4
164365: Off, C4
166758: Off, A#3
169153: Off, C4
171569: Off, C3
171569: On, C3
171809: Off, C3
171809: On, C3
172049: Off, C3
172049: On, G3
172256: Off, G3
174552: Off, C3
174552: On, C3
174672: Off, C3
174672: On, C3
174792: Off, C3
174792: On, C3
174912: Off, C3
174912: On, C3
175032: Off, C3
175032: On, C3
175152: Off, C3
175152: On, C3
175272: Off, C3
175272: On, C3
175392: Off, C3
175392: On, C3
175512: Off, C3
175512: On, C3
175632: Off, C3
175632: On, C3
175752: Off, C3
175752: On, C3
175872: Off, C3
175872: On, C3
175992: Off, C3
175992: On, C3
176112: Off, C3
176112: On, C3
176232: Off, C3
176232: On, C3
176352: Off, C3
176352: On, C3
176472: Off, C3
176472: On, C3
176592: Off, C3
176592: On, C3
176712: Off, C3
176712: On, C3
176832: Off, C3
176832: On, C3
176952: Off, C3
176952: On, C3
177072: Off, C3
177072: On, C3
177192: Off, C3
177192: On, C3
177312: Off, C3
177312: On, C3
177432: Off, C3
177432: On, C3
177552: Off, C3
177552: On, C3
177672: Off, C3
177672: On, C3
177792: Off, C3
177792: On, C3
177912: Off, C3
177912: On, C3
178032: Off, C3
178032: On, D#3
178239: Off, D#3
180531: Off, G#2
180531: On, G#2
180651: Off, G#2
180651: On, G#2
180771: Off, G#2
180771: On, G#2
180891: Off, G#2
180891: On, G#2
181011: Off, G#2
181011: On, G#2
181131: Off, G#2
181131: On, G#2
181251: Off, G#2
181251: On, G#2
181371: Off, G#2
181371: On, G#2
181491: Off, G#2
181491: On, G#2
181611: Off, G#2
181611: On, G#2
181731: Off, G#2
181731: On, G#2
181851: Off, G#2
181851: On, G#2
181971: Off, G#2
181971: On, G#2
182091: Off, G#2
182091: On, G#2
182211: Off, G#2
182211: On, G#2
182331: Off, G#2
182331: On, G#2
182451: Off, G#2
182451: On, G#2
182571: Off, G#2
182571: On, G#2
182691: Off, G#2
182691: On, G#2
182811: Off, G#2
182811: On, G#2
182931: Off, G#2
182931: On, G#2
183051: Off, G#2
183051: On, G#2
183171: Off, G#2
183171: On, G#2
183291: Off, G#2
183291: On, G#2
183411: Off, G#2
183411: On, G#2
183531: Off, G#2
183531: On, G#2
183651: Off, G#2
183651: On, G#2
183771: Off, G#2
183771: On, G#2
183891: Off, G#2
183891: On, G#2
184011: Off, G#2
184011: On, A#2
184251: Off, A#2
184251: On, A#2
184371: Off, A#2
184371: On, A#2
184491: Off, A#2
184491: On, A#2
184731: Off, A#2
184731: On, A#2
184971: Off, A#2
184971: On, F3
185211: Off, F3
185211: On, A#2
185451: Off, A#2
186258: On, A#2
186498: Off, A#2
186498: On, A#2
186618: Off, A#2
186618: On, A#2
186738: Off, A#2
186738: On, A#2
186978: Off, A#2
186978: On, A#2
187218: Off, A#2
187218: On, F5
187458: Off, F5
187458: On, A#2
187698: Off, A#2
188529: On, G3
188736: Off, G3
191032: Off, C3
191032: On, C3
191152: Off, C3
191152: On, C3
191272: Off, C3
191272: On, C3
191392: Off, C3
191392: On, C3
191512: Off, C3
191512: On, C3
191632: Off, C3
191632: On, C3
191752: Off, C3
191752: On, C3
191872: Off, C3
191872: On, C3
191992: Off, C3
191992: On, C3
192112: Off, C3
192112: On, C3
192232: Off, C3
192232: On, C3
192352: Off, C3
192352: On, C3
192472: Off, C3
192472: On, C3
192592: Off, C3
192832: On, C4
193335: Off, C4
193583: On, C4
194086: Off, C4
194334: On, C4
194837: Off, C4
195085: On, C4
195468: Off, C4
195596: On, F3
199572: Off, F3
199693: On, C4
203676: Off, C4
203804: On, G#3
207783: Off, G#3
207907: On, A#3
208528: Off, A#3
208654: On, A#2
208894: Off, A#2
208894: On, A#2
209134: Off, A#2
209134: On, A#2
209374: Off, A#2
209374: On, A#2
209614: Off, A#2
209614: On, A#2
209854: Off, A#2
209854: On, A#2
210094: Off, A#2
210094: On, A#3
210595: Off, A#3
210841: On, A#3
211462: Off, A#3
211588: On, G#3
212207: Off, G#3
212331: On, A#3
212952: Off, A#3
213078: On, D#4
215144: Off, D#4
215275: On, A#3
217336: Off, A#3
217462: On, G#3
219521: Off, G#3
219645: On, D#3
224502: Off, D#3
231538: Off, D#3
238574: Off, D#3
241261: Off, G5
241261: On, G3
241468: Off, G3
243884: Off, C3
243884: On, C3
244124: Off, C3
244124: On, G3
244331: Off, G3
246747: Off, C3
246747: On, C3
246987: Off, C3
246987: On, G3
247194: Off, G3
249610: Off, C3
249610: On, F3
249817: Off, F3
252231: Off, A#2
252231: On, A#2
252471: Off, A#2
252471: On, F3
252678: Off, F3
255092: Off, A#2
255092: On, A#2
255332: Off, A#2
255332: On, F5
255812: Off, F5
255812: On, D#3
256019: Off, D#3
258311: Off, G#2
258311: On, G#2
258431: Off, G#2
258431: On, G#2
