File format - 1
# of Tracks - 8
Ticks/quarter note - 192

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 789473 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 9410
0, Sequence/Track Name event
0, Program change event, Channel: 1
0, Control change event, Channel: 1
3032,On,G#4,1
3044,Off,G#3,1
3044,On,G#3,1
3044,Off,D#4,1
3044,On,D#4,1
3044,Off,G#4,1
3044,On,G#4,1
3057,Off,G#3,1
3057,Off,D#4,1
3057,Off,G#4,1
3069,On,D#3,1
3069,On,A#3,1
3069,On,D#4,1
3095,Off,D#3,1
3095,On,D#3,1
3095,Off,A#3,1
3095,On,A#3,1
3095,Off,D#4,1
3095,On,D#4,1
3107,Off,D#3,1
3107,On,D#3,1
3107,Off,A#3,1
3107,On,A#3,1
3107,Off,D#4,1
3107,On,D#4,1
3120,Off,D#3,1
3120,On,D#3,1
3120,Off,A#3,1
3120,On,A#3,1
3120,Off,D#4,1
3120,On,D#4,1
3133,Off,D#3,1
3133,On,G3,1
3133,Off,A#3,1
3133,On,C4,1
3133,Off,D#4,1
3133,On,G4,1
3133,On,C5,1
3145,Off,G3,1
3145,On,G3,1
3145,Off,C4,1
3145,On,C4,1
3145,Off,G4,1
3145,On,G4,1
3145,Off,C5,1
3145,On,C5,1
3158,Off,G3,1
3158,Off,C4,1
3158,Off,G4,1
3158,Off,C5,1
3183,On,G3,1
3183,On,D4,1
3183,On,G4,1
3196,Off,G3,1
3196,On,G3,1
3196,Off,D4,1
3196,On,D4,1
3196,Off,G4,1
3196,On,G4,1
3208,Off,G3,1
3208,Off,D4,1
3208,Off,G4,1
3234,On,G#3,1
3234,On,D#4,1
3234,On,G#4,1
3246,Off,G#3,1
3246,On,G#3,1
3246,Off,D#4,1
3246,On,D#4,1
3246,Off,G#4,1
3246,On,G#4,1
3259,Off,G#3,1
3259,Off,D#4,1
3259,Off,G#4,1
3272,On,D#3,1
3272,On,A#3,1
3272,On,D#4,1
3335, Program change event, Channel: 1
3335,Off,D#3,1
3335,Off,A#3,1
3335,On,C4,1
3335,Off,D#4,1
3335,On,F4,1
3335,On,A#4,1
3335,On,D5,1
3347,Off,F4,1
3347,On,G4,1
3347,Off,D5,1
3347,On,D#5,1
3354,Off,A#4,1
3354,On,A#4,1
3354,Off,D#5,1
3354,On,D#5,1
3354,On,G5,1
3360,Off,C4,1
3360,On,C4,1
3360,Off,G4,1
3360,On,G4,1
3360,Off,A#4,1
3360,On,A#4,1
3360,Off,D#5,1
3360,On,D#5,1
3360,Off,C4,1
3360,Off,G4,1
3360,Off,A#4,1
3360,Off,D#5,1
3373,On,G3,1
3373,On,D4,1
3373,On,G4,1
3373,On,B4,1
3398,Off,G3,1
3398,On,G3,1
3411,Off,D4,1
3411,On,D4,1
3417,Off,G4,1
3417,On,G4,1
3423,Off,B4,1
3423,On,B4,1
3429,On,A#4,1
3436,Off,D4,1
3436,On,D4,1
3436,Off,G4,1
3436,On,G4,1
3442,Off,D4,1
3442,On,D#4,1
3442,Off,G4,1
3442,On,G#4,1
3448,Off,G#4,1
3448,On,G#4,1
3448,Off,B4,1
3448,On,C5,1
3455,Off,C5,1
3455,On,C5,1
3455,Off,A#4,1
3455,On,D#5,1
3455,Off,G5,1
3455,On,G#5,1
3461,Off,G#4,1
3461,On,G#4,1
3461,Off,C5,1
3461,On,C5,1
3461,Off,D#5,1
3461,On,D#5,1
3461,Off,G#4,1
3461,Off,C5,1
3461,Off,D#5,1
3467,On,G#4,1
3467,On,C5,1
3467,On,D#5,1
3468,Off,G#4,1
3468,Off,C5,1
3468,Off,D#5,1
3474,Off,D#4,1
3474,On,D#4,1
3474,On,A#4,1
3474,On,D#5,1
3474,On,G5,1
3499,Off,A#4,1
3499,On,A#4,1
3505,Off,D#5,1
3505,On,D5,1
3512,Off,G5,1
3512,On,F5,1
3518,Off,G#5,1
3518,On,A#5,1
3524,Off,A#5,1
3524,On,D6,1
3531,Off,D6,1
3531,On,A#5,1
3537,Off,A#5,1
3537,On,C6,1
3543,Off,F5,1
3543,On,G5,1
3549,Off,C6,1
3549,On,A#5,1
3556,Off,G5,1
3556,On,F5,1
3562,Off,F5,1
3562,On,G5,1
3568,Off,D5,1
3568,On,D#5,1
3575,Off,G5,1
3575,On,F5,1
3581,Off,D#5,1
3581,On,D#5,1
3600,Off,D#5,1
3600,On,D#5,1
3613,Off,D#5,1
3613,On,D5,1
3619,Off,D5,1
3619,On,D#5,1
3625,Off,A#4,1
3625,On,C5,1
3638,Off,D#5,1
3638,Off,C5,1
3638,On,C5,1
3644,Off,C5,1
3644,On,D5,1
3651,Off,D5,1
3651,On,A#4,1
3663,Off,A#4,1
3663,On,C5,1
3676,On,G4,1
3739,Off,D#4,1
3739,On,C4,1
4143,Off,C4,1
4143,On,C4,1
4143,Off,G4,1
4143,On,G4,1
4143,Off,C5,1
4143,On,A#4,1
4181,Off,G3,1
4181,On,G3,1
4181,Off,C4,1
4181,On,D4,1
4181,Off,G4,1
4181,On,G4,1
4181,Off,A#4,1
4181,On,B4,1
4244,Off,G3,1
4244,On,G#3,1
4244,Off,D4,1
4244,On,D#4,1
4244,Off,G4,1
4244,On,G#4,1
4282,Off,G#3,1
4282,On,D#3,1
4282,Off,D#4,1
4282,On,A#3,1
4282,Off,G#4,1
4282,On,D#4,1
4282,Off,B4,1
4282,On,A#4,1
4345,Off,A#3,1
4345,On,C4,1
4345,Off,D#4,1
4345,On,G4,1
4345,Off,A#4,1
4345,On,A#4,1
4383,Off,D#3,1
4383,On,G3,1
4383,Off,C4,1
4383,On,D4,1
4383,Off,G4,1
4383,On,G4,1
4383,Off,A#4,1
4383,On,B4,1
4446,Off,G3,1
4446,On,G#3,1
4446,Off,D4,1
4446,On,D#4,1
4446,Off,G4,1
4446,On,G#4,1
4484,Off,G#3,1
4484,On,D#3,1
4484,Off,D#4,1
4484,On,A#3,1
4484,Off,G#4,1
4484,On,D#4,1
4484,Off,B4,1
4484,On,A#4,1
4547, Program change event, Channel: 1
4547,Off,D#3,1
4547,Off,A#3,1
4547,On,C4,1
4547,Off,D#4,1
4547,On,G4,1
4547,Off,A#4,1
4547,On,C5,1
4560,Off,C4,1
4560,On,C4,1
4560,Off,G4,1
4560,On,G4,1
4560,Off,C5,1
4560,On,C5,1
4573, Tempo to 240000 usec/quarter note
4573,Off,C4,1
4573,Off,G4,1
4573,Off,C5,1
4573,On,C#5,1
4573,Off,F5,1
4573,On,D#5,1
4575, Tempo to 1000000 usec/quarter note
4575,Off,C#5,1
4575,Off,D#5,1
4575,On,D#5,1
4599, Tempo to 789473 usec/quarter note
4599,On,G3,1
4599,On,D4,1
4599,On,G4,1
4599,Off,D#5,1
4611,Off,G3,1
4611,On,G3,1
4611,Off,D4,1
4611,On,D4,1
4611,Off,G4,1
4611,On,G4,1
4624, Tempo to 240000 usec/quarter note
4624,Off,G3,1
4624,Off,D4,1
4624,Off,G4,1
4624,On,C#5,1
4624,On,D#5,1
4626, Tempo to 1000000 usec/quarter note
4626,Off,C#5,1
4626,Off,D#5,1
4626,On,D#5,1
4650, Tempo to 789473 usec/quarter note
4650,On,G#3,1
4650,On,D#4,1
4650,On,G#4,1
4650,Off,D#5,1
4662,Off,G#3,1
4662,On,G#3,1
4662,Off,D#4,1
4662,On,D#4,1
4662,Off,G#4,1
4662,On,G#4,1
4688,Off,G#3,1
4688,On,D#3,1
4688,Off,D#4,1
4688,On,A#3,1
4688,Off,G#4,1
4688,On,D#4,1
4713,Off,D#3,1
4713,On,D#3,1
4713,Off,A#3,1
4713,On,A#3,1
4713,Off,D#4,1
4713,On,D#4,1
4726,Off,D#3,1
4726,On,D#3,1
4726,Off,A#3,1
4726,On,A#3,1
4726,Off,D#4,1
4726,On,D#4,1
4738,Off,D#3,1
4738,On,D#3,1
4738,Off,A#3,1
4738,On,A#3,1
4738,Off,D#4,1
4738,On,D#4,1
4751, Program change event, Channel: 1
4751,Off,D#3,1
4751,Off,A#3,1
4751,On,C4,1
4751,Off,D#4,1
4751,On,G4,1
4751,On,C5,1
4763,Off,C4,1
4763,On,C4,1
4763,Off,G4,1
4763,On,G4,1
4763,Off,C5,1
4763,On,C5,1
4776, Tempo to 240000 usec/quarter note
4776,Off,C4,1
4776,Off,G4,1
4776,Off,C5,1
4776,On,C#5,1
4776,On,D#5,1
4778, Tempo to 1000000 usec/quarter note
4778,Off,C#5,1
4778,Off,D#5,1
4778,On,D#5,1
4802, Tempo to 789473 usec/quarter note
4802,On,G3,1
4802,On,D4,1
4802,On,G4,1
4802,Off,D#5,1
4815,Off,G3,1
4815,On,G3,1
4815,Off,D4,1
4815,On,D4,1
4815,Off,G4,1
4815,On,G4,1
4827, Tempo to 240000 usec/quarter note
4827,Off,G3,1
4827,Off,D4,1
4827,Off,G4,1
4827,On,C#5,1
4827,On,D#5,1
4829, Tempo to 1000000 usec/quarter note
4829,Off,C#5,1
4829,Off,D#5,1
4829,On,D#5,1
4853, Tempo to 789473 usec/quarter note
4853,On,G#3,1
4853,On,D#4,1
4853,On,G#4,1
4853,Off,D#5,1
4866,Off,G#3,1
4866,On,G#3,1
4866,Off,D#4,1
4866,On,D#4,1
4866,Off,G#4,1
4866,On,G#4,1
4891,Off,G#3,1
4891,On,D#3,1
4891,Off,D#4,1
4891,On,A#3,1
4891,Off,G#4,1
4891,On,D#4,1
4916,Off,D#3,1
4916,On,D#3,1
4916,Off,A#3,1
4916,On,A#3,1
4916,Off,D#4,1
4916,On,D#4,1
4929,Off,D#3,1
4929,On,D#3,1
4929,Off,A#3,1
4929,On,A#3,1
4929,Off,D#4,1
4929,On,D#4,1
4942,Off,D#3,1
4942,On,D#3,1
4942,Off,A#3,1
4942,On,A#3,1
4942,Off,D#4,1
4942,On,D#4,1
4954,Off,D#3,1
4954,Off,A#3,1
4954,On,C4,1
4954,Off,D#4,1
4954,On,G4,1
4954,On,C5,1
4967,Off,C4,1
4967,On,C4,1
4967,Off,G4,1
4967,On,G4,1
4967,Off,C5,1
4967,On,C5,1
4979, Tempo to 240000 usec/quarter note
4979,Off,C4,1
4979,Off,G4,1
4979,Off,C5,1
4979,On,C#5,1
4979,On,D#5,1
4981, Tempo to 1000000 usec/quarter note
4981,Off,C#5,1
4981,Off,D#5,1
4981,On,D#5,1
5005, Tempo to 789473 usec/quarter note
5005,On,G3,1
5005,On,D4,1
5005,On,G4,1
5005,Off,D#5,1
5018,Off,G3,1
5018,On,G3,1
5018,Off,D4,1
5018,On,D4,1
5018,Off,G4,1
5018,On,G4,1
5031, Tempo to 240000 usec/quarter note
